Combo for which Character;Combo Notation;Position;Bar Use Point Char;Damage (e.g. 335);Difficulty;Which Assist Character is needed: (only for Tag combos);Fuse: (if any required);Bar Use Assist Char;Bar Use Total
Ekko;m, 2h, 9m,h,s2,2s2,9m,h,s2;;;276;;;;;0
Ekko;m, h, 2h, 9m,h,s2,2s2,9m,h,s2;;;351;;;;;0
Ekko;l, m, 2h, 9m,h,s2,2s2,9m,h,s2;;;276;;;;;0
Ekko;l, m, h, 2h, 9m,h,s2,2s2,9m,h,s2;;;291;;;;;0
Ekko;m,h,s2,s1+l,2h,9s1,m,2h,9m,h,s2;;1;475;;;;;1
Ekko;l,m,h,2h,9m,h,d,h,s2, m,h,2h,9m,h,s2;;;;;;;;0
Ekko;l,m,h,2h,9m,h,d,h,s2, 2s2, 9m,h,d,h,s2;;;;;;;;0
Ekko;2h,9m,h,d,h,s2,2s2,jcm,h,d,h,s2;;;;;;;;0
Ekko;m,h,2h,9m,h,s2,2s2,jcm,h,s2;;;;;;;;0
Ekko;2l,2m,m,2h,9s2,2s2,2s2,m,2h,9hh,s1,s2,2h,9h,s2;;;;;;;;0
Ekko;2l,2m,m,2h,9s2,2,4s2,s1,2s2,2h,9hh,s1,s2,h,2t;;;;;;;;0
Ekko;2l,2m,m,2h,9s2,2,4s2,s1,2s2,2h,9hh,s1,s2,h,2t;;;;;;;;0
Ekko;l,m,h,s2,s2,s1+l,2h, s1,2s2,2hh,9hh,s1,s2,h,2t;;1;;;;;;1
Ekko;l,m,h,s2,s2,s1+l,2h, 2s1,9,hh,2s2,2h,jch,s;;1;;;;;;1
Ekko;2l,m,s2,s2,s1+l,2h,2hh,9m,h,s2;;1;;;;;;1
Ekko;l,m,h,s2,s2,l, m,h,s2,2s2,jcs2s2,2s2,2h,9h,s2;Corner;;;;;;;0
Ekko;l,m,h,s2,s2,l, h,s2,2s2,9s2s2,l,m,h,6s1,2s2,6s1, s1+s2;Corner;3;;;;;;3
Ekko;l,m,h,s2,s2,l, h,s2,2s2,jcs2s2,l,m,h,6s1,2s2,6s1, s1+l;Corner;1;;;;;;1
Ekko;m,h,s2,s2,s1+l,2h,(4)s1,2s2,2h,9hh,s1,s2,s1+l;;1;;;;;;1
Ekko;m,h,s2,2s2,9m,h,s2,h,2t;;;;;;;;0
Ekko;l,m,h,s2,s1+l,s1+l;;1;403;;Jinx;Double Down;1;2
Ekko;m,h,s2,s1+l,s1+l;;1;445;;Jinx;Double Down;1;2
Ekko;m,h,s2,s2,s1+l,2h,9s1,m,2t,m,h,s1,s2,s1+l;;1;630;;Jinx;;1;2
Ekko;m,h,s2,s2,s1+l,2h,9s1,m,2t,m,h,2h,2s2,s2,9m,s2+m;;1;635;;Jinx;;1;2
Ekko;3m, 4t, m, h, s2, 2s2, 9m, h, s2, 2m, h, 6s1;;;424;;Jinx;;;0
Ekko;3m, 4t, m, h, s2, 2s2, 9s2s2, l, m, h, 6s1, 2s2, h, 2t, h, 2h, hh, 2s2, s1+l;Corner;1;624;;Jinx;;;1
;;;;;;;;;0
