Move;Attack Level;Damage;Combo Hits;Frame Startup;Frame Active;Frame Recovery Hit Minimum;Frame Recovery Hit Maximum;Frame Recovery Block Minimum;Frame Recovery Block Maximum;Meter gained
L;MID;40;1;6;;0;0;-1;-1;2
M;MID;55;1;10;;-4;-4;-5;-5;3
H;MID;70;1;13;;1;1;-3;-3;4
2L;LOW;40;1;7;;-1;-1;-2;-2;2
2M;LOW;55;1;10;;-4;-4;-5;-5;3
2H;LOW;70;1;13;;21;21;-6;-6;4
3L;LOW;40;1;9;;1;1;-2;-2;2
3M;HIGH;65;1;22;;5;5;-3;-3;3
Run H;MID;93;3;13;;10;10;1;1;9
[H];MID;90;1;36;;142;142;5;5;7
2[H];MID;90;1;33;;33;33;-9;-9;7
jL;HIGH;40;1;7;;7;12;6;11;2
jM;HIGH;55;1;9;;11;16;10;14;3
jH;HIGH;70;1;13;;16;22;16;19;4
j2H;HIGH;65;1;12;;14;21;11;19;4
j[H];HIGH;90;1;30;;23;29;15;17;5
S1;MID;80;1;15;;4;19;-10;-23;8
jS1;MID;80;1;20;;12;18;-5;-9;7
2S1;MID;80;1;24;;27;52;0;0;8
6S1;MID;163;3;19;;53;53;-12;-12;10
S2;MID;80;1;19;;3;3;-5;-5;3
[S2];MID;90;1;32;;10;10;-1;-1;6
S2, S2;MID;80;1;22;;42;42;-13;-13;5
S2, 2S2;MID;60;1;28;;34;34;-1;-1;4
[S2], 2S2;MID;95;1;24;;128;128;-5;-5;8
2S2;#NA;#NA;#NA;31;;#NA;#NA;#NA;#NA;#NA
2[S2];#NA;#NA;#NA;45;;#NA;#NA;#NA;#NA;#NA
S1+L;MID;201;1;61;;59;59;-3;-9;59
S2+M;#NA;#NA;#NA;61;;#NA;#NA;#NA;#NA;#NA
S1+S2;MID;480;1;116;;32;32;-28;-28;32
